Type,FullName,Label
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Update_ZCAN03,IntSAP_SistAgricola_Update_ZCAN03
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Update_SAP_MSEL,Ger_Update_SAP_MSEL
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Select_Real_Safra,Select_Real_Safra
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Xct_Instructions,Xct_Instructions
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Insert_ZCAN02,IntSAP_SistAgricola_Insert_ZCAN02
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/MonitorIntReadInterfaceList,MonitorIntReadInterfaceList
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Xct_Status_Moviments,Xct_Status_Moviments
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Insert_Real_Safra,Insert_Real_Safra
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_CrtlRecipe_Insert_CRFV,IntSAP_CrtlRecipe_Insert_CRFV
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Select_Meta_Safra,Select_Meta_Safra
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/GetFilePrevAcum,GetFilePrevAcum
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SAP_MSEL_Insert,IntSAP_SAP_MSEL_Insert
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Xct_Send_Order,Xct_Send_Order
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Update_Real_Safra,Update_Real_Safra
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/MonitorIntGetXMLXacute,MonitorIntGetXMLXacute
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Xct_Grid_Insumos_Previsto,Xct_Grid_Insumos_Previsto
