SOURCE_TYPE,SOURCE_NAME,EDGES,TARGET_TYPE,TARGET_NAME
TQXC,Get_QtdLote,CALL,TRX,IntSAP_Qtd_Lote
TQSQ,IntSAP_SistAgricola_Update_ZCAN01,UPDATE,TABLE,SAP_ZCAN01
TQSQ,IntSAP_CrtlRecipe_Insert_CRFT,INSERT,TABLE,"SAP_CRFT
CRID"
TQXC,Xct_Ins_Upd_Insumos_Previsto,CALL,TRX,Ins_Upd_Insumos_Previsto
TQXC,Xct_Add_Qtd_Lote,CALL,TRX,Ger_Add_Qtd_Lote
TQSQ,IntSAP_CrtlRecipe_Update_CRHE,UPDATE,TABLE,SAP_CRHE
TQSQ,IntSAP_CrtlRecipe_Insert_CRHE,INSERT,TABLE,"SAP_CRHE
CRID"
TQSQ,IntSAP_SistAgricola_Query_ZCAN05,SELECT,TABLE,SAP_ZCAN05
TQXC,Xct_Cancel_CtrlRecipe,CALL,TRX,CancelCrtlRecipe
TQXC,InsumosManualXacuteQuery,CALL,TRX,IntSAP_Insumos_Manual
TQXC,Xct_SistAgricola,CALL,TRX,IntSAP_SistAgricola_IDOC_Receiver
TQSQ,Get_Calendar_UBV_InsertQuery,INSERT,TABLE,UBV_SAFRA_DATAS
TQSQ,Get_Calendar_UBV_SelectQuery,SELECT,TABLE,UBV_SAFRA_DATAS
TQSQ,Get_Calendar_UBV_UpdateQuery,UPDATE,TABLE,UBV_SAFRA_DATAS
TQXC,Xct_Import_Insumos_Previsto_SafraAnt,CALL,TRX,Import_Insumos_Previsto_SafraAnt
TQXC,MonitorInterfaceSAPXacute,CALL,TRX,MonitorIntReadMessage
TQXC,Xct_Features,CALL,TRX,Ger_Features
TQSQ,IntSAP_SistAgricola_Query_ZCAN01_ZCAN03,SELECT,TABLE,[PARAM.1]
TQXC,GetFilePrevReal,CALL,TRX,IntSAP_Prev_Real_TXT
TQSQ,Get_Tipo_Indicador,SELECT,TABLE,UBV_INDICADORES
TQSQ,IntSAP_SistAgricola_Query_ZCAN04,SELECT,TABLE,SAP_ZCAN04
TQXC,MonitorIntReadInterfaceListXacute,CALL,TRX,MonitorIntReadInterfaceList
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,SQL
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,UPDATE
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,INSERT
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,SQL_METRICA
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,SQL_UNIDMEDID
TQXC,xCtsafraPrevistoGetMetrica,CALL,TRX,materiaInsumoGetMetrica
TRX,safraPrevistoGetData,QUERY,TQSQ,SQL
TQXC,xCtsafraPrevistoGetData,CALL,TRX,safraPrevistoGetData
TQXC,Xct_Ins_Upd_Insumos_Previsto,CALL,TRX,Ins_Upd_Insumos_Previsto
TRX,materiaInsumoGetMetrica,QUERY,TQSQ,SQL
TQSQ,MaterialBrowser,SELECT,TABLE,UBV_MATERIAL_INSUMOS
TQSQ,PlantaBrowser,SELECT,TABLE,UBV_MATERIAL_INSUMOS
TQSQ,DepositoBrowser,SELECT,TABLE,UBV_MATERIAL_INSUMOS
TQSQ,cCustoBrowser,SELECT,TABLE,UBV_MATERIAL_INSUMOS
TQSQ,SafraBrowser,SELECT,TABLE,UBV_SAFRA_DATAS
TRX,UploadPrevisto,QUERY,TQSQ,GetInsumosPrevistoFromSafra
TRX,UploadPrevisto,QUERY,TQSQ,InsertLogInterfacePrevisto
TQSQ,InsertLogInterfacePrevisto,INSERT,TABLE,UBV_INSUMOS_PREVISTO_LOG_SAP
TQSQ,GetInsumosPrevistoFromSafra,SELECT,TABLE,METRICA.MES_UNIDADEMEDIDA
TQSQ,GetInsumosPrevistoFromSafra,SELECT,TABLE,UBV_INSUMOS_PREVISTO
TRX,UploadReal,QUERY,TQSQ,GetSafraFromData
TRX,UploadReal,QUERY,TQSQ,GetRealInsumoFromData
TRX,AuditoriaFinalConfConsumo,QUERY,TQSQ,AuditoriaFinalSP_CONFIRCONSUMSELECT
TRX,AuditoriaFinalConfConsumo,QUERY,TQSQ,AuditoriaFinalSP_CONFIR_CONSUM_NS
TRX,AuditoriaFinalConfConsumo,QUERY,TQSQ,AuditoriaFinalSP_REGISTCONFIRCONSUM
TQSQ,GetSafraFromData,SELECT,TABLE,UBV_SAFRA_DATAS
TQXC,XCT_UploadPrevisto,CALL,TRX,UploadPrevisto
TQSQ,GetRealInsumoFromData,SELECT,TABLE,UBV_MATERIAL_INSUMOS
TQSQ,GetRealInsumoFromData,SELECT,TABLE,METRICA.AP_METRICDEFINITIONS
TQSQ,GetRealInsumoFromData,SELECT,TABLE,METRICA.AP_METRICHISTORY
TQSQ,GetRealInsumoFromData,SELECT,TABLE,METRICA.MES_UNIDADEMEDIDA
TRX,TMP_IntSAP_Prev_Real,QUERY,TQSQ,SQL
TRX,TMP_IntSAP_Prev_Real,QUERY,TQSQ,MTC
TRX,TMP_IntSAP_Prev_Real,CALL,TRX,ComboTransaction
TRX,TMP_IntSAP_Prev_Real,QUERY,TQSQ,MTC2
TRX,TMP_IntSAP_Prev_Real,QUERY,TQSQ,UPDATE
TRX,Ger_CrtlRecipe,QUERY,TQSQ,Ger_ReceitasControle
TRX,Ger_CrtlRecipe,QUERY,TQSQ,Get_UNID_MED
TRX,Ger_CrtlRecipe,QUERY,TQSQ,Get_NUM_ORDER
TRX,Ger_CrtlRecipe,QUERY,TQSQ,Get_QTD_PLAN
TRX,Ger_CrtlRecipe,QUERY,TQSQ,Get_QTD_REAL
TRX,Ger_CrtlRecipe,QUERY,TQSQ,STATUS
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Get_Centros
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Get_Tipo_Indicador
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Select_Real_Safra
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Update_Real_Safra
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Insert_Real_Safra
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Select_Plano_Safra
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Update_Plano_Safra
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Insert_Plano_Safra
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Select_Meta_Safra
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Update_Meta_Safra
TRX,IntSAP_Prev_Real_SAP,QUERY,TQSQ,Insert_Meta_Safra
TRX,Get_Instructions,QUERY,TQSQ,SQL
TRX,Get_Instructions,QUERY,TQSQ,GET_DESC
TRX,Get_Instructions,QUERY,TQSQ,SQL_DESC_FASE
TRX,CancelCrtlRecipe,QUERY,TQSQ,UPDT_CRHE
TRX,CancelCrtlRecipe,QUERY,TQSQ,UDPT_MSHD
TRX,CancelCrtlRecipe,QUERY,TQSQ,SQL_MSHD
TRX,CancelCrtlRecipe,QUERY,TQSQ,UPDT_MSEL
TRX,Ger_Features,QUERY,TQSQ,Ger_Features
TRX,IntSAP_Prev_Real_TXT_CargaPeriodo,QUERY,TQSQ,INDICADORES
TRX,IntSAP_Prev_Real_TXT_CargaPeriodo,QUERY,TQSQ,Prev_DIA
TRX,IntSAP_Prev_Real_TXT_CargaPeriodo,QUERY,TQSQ,Real_DIA
TRX,IntSAP_Prev_Real_TXT_CargaPeriodo,CALL,TRX,ComboTransaction
TRX,IntSAP_Prev_Real_TXT_CargaPeriodo,QUERY,TQSQ,Prev_SEM
TRX,IntSAP_Prev_Real_TXT_CargaPeriodo,QUERY,TQSQ,Real_SEM
TRX,IntSAP_Prev_Real_TXT_CargaPeriodo,QUERY,TQSQ,Prev_MES
TRX,IntSAP_Prev_Real_TXT_CargaPeriodo,QUERY,TQSQ,Real_MES
TRX,IntSAP_InsertField_Metricas,QUERY,TQSQ,SQL_METRICAS
TRX,IntSAP_InsertField_Metricas,QUERY,TQSQ,UPD_MSEL_ATWRT
TRX,IntSAP_InsertField_Metricas,CALL,TRX,IntSAP_Metricas
TRX,IntSAP_InsertField_Metricas,QUERY,TQSQ,SQL_MATERIAL
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,SQL
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,UPDATE
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,INSERT
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,SQL_METRICA
TRX,Ins_Upd_Insumos_Previsto,QUERY,TQSQ,SQL_UNIDMEDID
TRX,IntSAP_Sched_Metrics,QUERY,TQSQ,SQL_CRIDs
TRX,IntSAP_Sched_Metrics,CALL,TRX,IntSAP_InsertField_Metricas
TRX,Ger_Update_MSEL_MSHD,QUERY,TQSQ,Ger_Update_SAP_MSEL
TRX,Ger_Update_MSEL_MSHD,QUERY,TQSQ,Ger_Update_SAP_MSHD
TRX,Ger_Update_MSEL_MSHD,QUERY,TQSQ,SQL
TRX,Ger_Update_MSEL_MSHD,QUERY,TQSQ,REPLICATE_ALCOOL_VALUES
TRX,Ger_Movimentos_Status,RFC,RFC,Z_SAP_PROCES_MESSAGES_XMII
TRX,IntSAP_Characteristics,QUERY,TQSQ,SQL_CHARA_EN
TRX,IntSAP_Characteristics,RFC,RFC,BAPI_CHARACT_GETDETAIL
TRX,IntSAP_Characteristics,QUERY,TQSQ,INSERT
TRX,IntSAP_Characteristics,QUERY,TQSQ,SQL
TRX,IntSAP_Characteristics,QUERY,TQSQ,UPDATE
